scenario,case_name,status,V_RMSE,T_RMSE_K,V_RMSE_0_6,V_RMSE_6_15,V_RMSE_15_end,V_end_bias,valley_time_error_s,valley_voltage_error
default,-20℃,VALID,0.215252973932683,1.11408182992168,0.14060840615112,0.0925723336336449,0.263261623314928,-0.340291924889073,18,-0.159869053730812
default,-25℃,VALID,0.246961607753022,1.27254436579764,0.15220621297078,0.111457096942534,0.302608385053657,-0.366801865771005,18.2,-0.220172292187589
Ea67_j0_025_fCL3,-20℃,VALID,0.0829224021355724,0.32887945792042,0.00300329310784298,0.0898604650635597,0.0907366777509121,-0.154426661659512,20.2,0.0328787883478091
Ea67_j0_025_fCL3,-25℃,VALID,0.0942496596008155,0.43902575707592,0.0119980065163672,0.0735145172904765,0.112643044302011,-0.166670896058566,20.3999999999999,-0.0106750217115472
Ea67_no_ice_feedback,-20℃,VALID,0.0636639750177122,0.227806330817798,0.00300329310784298,0.0910140877950496,0.0582137956979797,-0.0987541404118973,14.6,0.0778799530519682
Ea67_no_ice_feedback,-25℃,VALID,0.0694357385168082,0.325274759208262,0.0119980065163672,0.075402448337697,0.0756416209427933,-0.108822385254534,16,0.0379551841497898
low_current_kinetics,-20℃,VALID,0.120180959641148,0.575128625200794,0.00205204949380906,0.0552710644219939,0.151959902130427,-0.234362083061935,20.2,-0.0480515561784605
low_current_kinetics,-25℃,VALID,0.142056566082988,0.692067192623731,0.00209548094412841,0.0489051381720566,0.181814211387616,-0.254577462895842,20.3999999999999,-0.100760620835282
low_current_no_ice_feedback,-20℃,VALID,0.0940285621656959,0.472416762543076,0.00205204949380906,0.0559850053872528,0.116632684776004,-0.179073411155762,15.8,-0.00160682650742078
low_current_no_ice_feedback,-25℃,VALID,0.113513113026809,0.577850735792154,0.00209548094412841,0.0497812556075427,0.143889548712835,-0.19738996189427,16.4,-0.0516587349603655
parallel_active,-20℃,VALID,0.0748369236586079,0.38343464192574,0.00204980957317138,0.0574660143959578,0.0897942148382951,-0.137257254779129,14.4,0.0313369706472221
parallel_active,-25℃,VALID,0.0908003559499846,0.51073837937495,0.0146742318099999,0.0390163135240853,0.114967147650088,-0.144930697623469,14.8,-0.0125671425223451
parallel_hydration_beta2,-20℃,VALID,0.0554420157400547,0.183608592655158,0.00408729885690989,0.0915534670795305,0.0410412465689213,-0.0558787378078394,14.4,0.0864671433807856
parallel_hydration_beta2,-25℃,VALID,0.0668475929705046,0.359755069722751,0.0111615557314694,0.0675744060523607,0.0747439736978367,-0.0840439311787003,14.6,0.0263069935297395
Ea_fit_parallel_hydration,-20℃,VALID,0.0607772842166998,0.226444373281148,0.00428401005668257,0.0898093523567454,0.053467558139737,-0.0795810382464992,14.4,0.0711374696424847
Ea_fit_parallel_hydration,-25℃,VALID,0.0720197241308855,0.349862919253643,0.00449318970743124,0.0787812328371583,0.07836252144983,-0.0959994421370637,14.6,0.0237218088361325
