time_s,V_sim,T_seven_C,T_MEA_C,ice_volume_max,ice_saturation_max,liquid_saturation_max,lambda_aCL,lambda_PEM,lambda_cCL,lambda_oversat_CL,CL_frozen_ion_water,gas_porosity_min,V_Erev,V_act,V_ohm,V_con,R_aCL,R_PEM,R_cCL,jlim_H,jlim_O,reaction_weight_max,nucleation_progress,V_exp,T_exp_C,water_residual,energy_residual
0,0.648309136333282,-25,-25,0,0,0,3,3,3,-3.53552075282775,0,0.3916,1.26315895683089,0.609044746357409,0.00580411544821231,9.58691983426152e-07,1.43373368851014e-05,2.49444513313016e-05,4.76505608240135e-05,3382613.69449797,368107.265024733,1,1,0.799,-24.9954164846888,0,0
0.2,0.645967380935707,-24.9978420811755,-24.9928791825137,0,0,0,2.98495363666165,2.99980512499782,3.0144644135708,-3.52079075472642,0,0.3916,1.26315043751808,0.611101180073876,0.00608086971141336,1.00679708489417e-06,1.4403083039862e-05,2.4941558520811e-05,4.73936214182912e-05,3382680.96375528,368060.879960922,1.00000126569413,1,0.799,-24.9954164846888,3.06802281812653e-18,-3.22061341137547e-10
0.4,0.64835746848901,-24.9960281667631,-24.9912826834436,0,0,0,2.97613848198397,2.99951146863357,3.02771030575525,-3.50480907635255,0,0.3916,1.26314911657445,0.609009752231216,0.0057809370097773,9.58844448766384e-07,1.44436610815716e-05,2.49439230962318e-05,4.71936115203228e-05,3382697.7917279,368065.253415011,1.00000131013796,1,0.799,-24.9939652961073,2.69607443824716e-18,-1.3889984648574e-10
0.6,0.648370748270712,-24.9942510813173,-24.9895153861895,0,0,0,2.97051142479112,2.99923378765683,3.03972536410925,-3.48938416593448,0,0.3916,1.26314756167467,0.609004222664045,0.00577163189376444,9.58846151006609e-07,1.44714308726913e-05,2.49460093175496e-05,4.70227830002903e-05,3382715.73686355,368067.209753794,1.00000128310356,1,0.799,-24.9925613010652,2.55822809788765e-18,-2.0569176223395e-10
0.8,0.646009858314188,-24.9924139211597,-24.9874387010825,0,0,0,2.96605218497865,2.9990227138604,3.05139182915321,-3.47396247484674,0,0.3916,1.26314562129616,0.611084098357686,0.00605065782172059,1.00680256290445e-06,1.44939761577172e-05,2.49471847049761e-05,4.68611877078466e-05,3382736.76087829,368066.960849637,1.00000131748106,1,0.799,-24.9911229816268,2.87450225945852e-18,-2.5412326409846e-10
1,0.648396621666068,-24.9906135092337,-24.9858642960714,0,0,0,2.96284218864054,2.99890222929822,3.06236242729599,-3.45894766522671,0,0.3916,1.26314432680134,0.6089927187397,0.0057540275458626,9.58849705954425e-07,1.45105812587655e-05,2.49477877270337e-05,4.67151483340192e-05,3382753.21686012,368071.274576193,1.00000132544311,1,0.8,-24.9896887304606,2.64020169659165e-18,-3.06770220337427e-10
1.2,0.648408445371333,-24.9888503649924,-24.9841123725602,0,0,0,2.96070215534522,2.99889343662404,3.0723828265777,-3.44495838344129,0,0.3916,1.2631427865345,0.608987241210501,0.00574614110126396,9.58851400895942e-07,1.45219883308609e-05,2.49470680945023e-05,4.65849812587857e-05,3382770.98043786,368073.209135364,1.00000129417089,1,0.799,-24.9882968823982,3.42131827519283e-18,-6.18942161412228e-10
1.4,0.646047498192618,-24.9870273620583,-24.9820516485657,0,0,0,2.95861883261461,2.99899261478953,3.08223859556943,-3.43126291091928,0,0.3916,1.26314086074907,0.611067214103686,0.00602514164481069,1.00680795173851e-06,1.45326112837181e-05,2.49449838372894e-05,4.64565914684039e-05,3382791.86700976,368072.98082889,1.00000133676404,1,0.8,-24.9868705327381,-1.46218400775284e-18,-6.77685116357019e-10
1.6,0.653509173352882,-24.9853680031234,-24.9810917183088,0,0,0,2.95792374406858,2.99920442000652,3.09081049234544,-3.41881027345586,0,0.3916,1.26314031815783,0.604472039993352,0.00515824186320567,8.62948394523898e-07,1.45365622029672e-05,2.49425092249888e-05,4.63513332693395e-05,3382802.44369795,368081.671364046,1.00000128583251,1,0.8,-24.985524800531,-4.39004603416593e-18,-6.26324409003232e-10
1.8,0.643794876749191,-24.9835546526425,-24.9783619624958,0,0,0,2.95665364301763,2.99952814496902,3.09939292256664,-3.40692751906045,0,0.3916,1.26313751131857,0.613045089138579,0.00629649066306279,1.05476773883555e-06,1.45427264733606e-05,2.49375318728416e-05,4.62395903314353e-05,3382829.06597618,368074.477289943,1.0000013030585,1,0.8,-24.9841445358099,1.41268022594174e-17,-7.99042138011075e-10
2,0.648453937398765,-24.9817439808237,-24.9769812004148,0,0,0,2.95531998387216,2.9999318757912,3.10817880992057,-3.3945962829355,0,0.3916,1.26313646906176,0.608964774881581,0.00571679792312634,9.58858292351392e-07,1.45486885071348e-05,2.49327446505816e-05,4.61280553776476e-05,3382844.18728928,368081.166937247,1.00000139896977,1,0.8,-24.9826913133056,3.92713392581308e-17,-7.58018647850633e-10
2.2,0.646093212997582,-24.9799411901293,-24.9749639259205,0,0,0,2.95466506418495,3.00043320560643,3.11618088586248,-3.38337411838094,0,0.3916,1.26313459779244,0.611045001246944,0.00599537673273095,1.00681517869166e-06,1.45515306140863e-05,2.49264440495735e-05,4.60267467657439e-05,3382864.31828665,368080.850355216,1.00000136404802,1,0.8,-24.9812806025465,5.22601924575815e-17,-5.528300872637e-10
2.4,0.648475516994471,-24.9781733420408,-24.9734214783181,0,0,0,2.95432604702808,3.00102356949391,3.12377292062451,-3.37262720066059,0,0.3916,1.2631333314937,0.608953616996303,0.005703238641192,9.58861737533519e-07,1.45526239037463e-05,2.49195562467889e-05,4.59318852635236e-05,3382880.43290837,368085.110476891,1.00000137557963,1,0.8,-24.9798738175426,4.90624511757944e-17,-5.54675000374871e-10
2.6,0.648485652152363,-24.9764428811671,-24.971703517014,0,0,0,2.95446288932981,3.00170742563319,3.13065681347155,-3.3628631628058,0,0.3916,1.26313182168231,0.608948247773403,0.00569696289321239,9.58863334033427e-07,1.45513471287473e-05,2.49115381293916e-05,4.58461025740289e-05,3382897.86421793,368087.03165912,1.0000013475973,1,0.8,-24.9785092749632,5.3423215016276e-17,-6.87428253209887e-10
2.8,0.648495731777703,-24.9747156427019,-24.9699718207171,0,0,0,2.95463879980607,3.00247538181408,3.13723209364574,-3.35361832950141,0,0.3916,1.26313029029042,0.608942801805474,0.00569079784203333,9.58865211797107e-07,1.45495903741338e-05,2.49026224707275e-05,4.57633744619436e-05,3382915.52715297,368088.881092341,1.0000013460306,1,0.8,-24.9771485174843,2.88936305547141e-17,-7.76426312132372e-10
3,0.643862873173107,-24.9728662255806,-24.9676506406338,0,0,0,2.95411955223289,3.00331088265603,3.14424407635551,-3.34415917344073,0,0.3916,1.26312803089717,0.61301155090666,0.00625255203842254,1.05477897935697e-06,1.4550731919874e-05,2.48925839127921e-05,4.56713781510625e-05,3382938.90052109,368086.46618244,1.0000014204078,1,0.8,-24.9757148215872,7.57221911508029e-17,-7.94384558133743e-10
3.2,0.646147333244446,-24.9710211107788,-24.9660178910223,0,0,0,2.95376625876342,3.00420272636721,3.15124075325112,-3.3346142712769,0,0.3916,1.26312667648921,0.611016906724778,0.00596142969566877,1.0068243140604e-06,1.45509831079298e-05,2.48824932477467e-05,4.55814378246872e-05,3382956.06227738,368090.80535934,1.00000146458547,1,0.8,-24.9742466427357,1.09146098014568e-16,-8.39623121029476e-10
3.4,0.648527216000255,-24.9692782971244,-24.9645248495588,0,0,0,2.95444547980002,3.00516956764379,3.15719337244973,-3.3262874625955,0,0.3916,1.26312547005043,0.608925659967,0.00567163521283992,9.5887033200727e-07,1.45465673325775e-05,2.4871699795253e-05,4.55070063466943e-05,3382971.39023165,368095.005705862,1.00000140386095,1,0.8,-24.9728594600344,1.01889937332355e-16,-7.50643880387258e-10
3.6,0.646167606422468,-24.9675074917618,-24.9625284890813,0,0,0,2.95500523321793,3.00620810486894,3.16292784758445,-3.31847190600254,0,0.3916,1.26312360963051,0.611006029483099,0.00594896689714424,1.00682779648933e-06,1.45424693199394e-05,2.48597764034077e-05,4.54328480783056e-05,3382991.44659206,368094.679463256,1.00000140205412,1,0.8,-24.9714761302039,1.06390236616007e-16,-5.63818047805142e-10
3.8,0.646178072444681,-24.9657085458147,-24.9607173196943,0,0,0,2.95532280560271,3.00730223169417,3.16877250290449,-3.31060730393734,0,0.3916,1.26312200097334,0.611000324051406,0.00594259764763295,1.00682961937214e-06,1.45392135450171e-05,2.48474290025342e-05,4.53565520825813e-05,3383010.12102776,368096.712905342,1.00000144514226,1,0.8,-24.9700582752618,1.00108746158287e-16,-8.21244128257348e-10
4,0.648556855531703,-24.963978864763,-24.959225527889,0,0,0,2.95622168200115,3.00845580199755,3.17399800606344,-3.30345924471907,0,0.3916,1.26312078750683,0.608909007807335,0.00565396529240939,9.58875380751611e-07,1.45332509004516e-05,2.48346952987463e-05,4.52896279808043e-05,3383025.58829623,368100.92658724,1.00000142095508,1,0.8,-24.9686827526186,1.09896450091827e-16,-7.38298644442636e-10
4.2,0.65104137014924,-24.9623490385666,-24.9578443244328,0,0,0,2.95780646420223,3.00967662651114,3.17831158112515,-3.29745440945307,0,0.3916,1.26311967941568,0.606710971596969,0.00536642674741325,9.10922056446054e-07,1.45240740632449e-05,2.48213184760697e-05,4.52349919062756e-05,3383039.77866202,368104.996992126,1.00000135828458,1,0.8,-24.9673874768015,9.36170194760811e-17,-6.11385386761754e-10
4.4,0.648574472093487,-24.9606909375311,-24.9559606115708,0,0,0,2.95907455304611,3.01095524357254,3.18251593064545,-3.29186799785234,0,0.3916,1.26311791853909,0.60889880512417,0.00564368244291002,9.58878527017641e-07,1.45160950446894e-05,2.4806966902581e-05,4.51787270628163e-05,3383058.67142411,368104.533929392,1.00000135451759,1,0.8,-24.9660957798237,7.74395769211406e-17,-6.91559642884698e-10
4.6,0.648583674525766,-24.9590045859696,-24.9542621554943,0,0,0,2.95997519082883,3.01227260783336,3.18692766013833,-3.28612961994991,0,0.3916,1.26311640965477,0.608893439198134,0.00563833705070587,9.58880168816129e-07,1.45095656674298e-05,2.47923764684572e-05,4.51188641823069e-05,3383076.18485761,368106.436101412,1.00000139465655,1,0.801,-24.9647695179154,7.81914907153962e-17,-6.95481505719187e-10
4.8,0.648592746055406,-24.9573234592875,-24.9525806981377,0,0,0,2.96097946058731,3.01362707139125,3.19117672842207,-3.2806493490717,0,0.3916,1.26311492381229,0.608888155213953,0.00563306366113767,9.58881791666841e-07,1.45025459269163e-05,2.47774304824693e-05,4.50609380568502e-05,3383093.37617863,368108.306868686,1.00000139795244,1,0.8,-24.9634469494401,6.3434403298993e-17,-6.67958299782612e-10
5,0.648601758314325,-24.9556465865189,-24.950901930852,0,0,0,2.96205426633551,3.01501695424056,3.19527935562841,-3.2754062471881,0,0.3916,1.26311344013708,0.608882878937103,0.00562784400213473,9.58883521472953e-07,1.44951668643048e-05,2.47621339705553e-05,4.50045357974811e-05,3383110.50846385,368110.132936346,1.00000139536355,1,0.8,-24.9621280589219,6.53693177180974e-17,-6.56046605929106e-10
5.2,0.643973783785894,-24.9538470019416,-24.9486280870611,0,0,0,2.96240520372441,3.01643093887761,3.19998141357654,-3.26967697459459,0,0.3916,1.26311122178853,0.612952086484156,0.00618429671928069,1.05479919766224e-06,1.44909696760601e-05,2.47461883014607e-05,4.49374741107542e-05,3383133.37538058,368107.621602551,1.00000146326381,1,0.801,-24.9607362991643,4.88390197661765e-17,-8.02479915851251e-10
