parameter,value_SI,unit,source
Faraday,96485.33212,C/mol,physical_constant
gas_constant,8.314462618,J/(mol K),physical_constant
water_molar_mass,0.018,kg/mol,rounded_attachment_convention
ionomer_water_capacity,38.7,kg/m3,attachment_1
pressure,101325,Pa,attachment_1
oxygen_mole_fraction,0.210084298130965,1,mass_to_mole_conversion
convective_h,40,W/(m2 K),attachment_1
vapor_latent_heat,2500000,J/kg,attachment_1
fusion_latent_heat,333600,J/kg,attachment_1
input_area_m2,0.0303,m2,review_input_reconstruction
j0_ref,0.01,A/m2,attachment_1_default
activation_energy,67000,J/mol,problem_default
CL_factor,1,1,structural_parameter
H2_diffusivity_ref,0.00011,m2/s,working_assumption
O2_diffusivity_ref,3.2e-05,m2/s,working_assumption
vapor_diffusivity_ref,2.82e-05,m2/s,working_assumption
liquid_density,990,kg/m3,attachment_1
ice_density,920,kg/m3,attachment_1
