check,error,limit,pass
U01_length_m,1.73472347597681e-18,1e-12,1
U01_heat_capacity,0.00033999999777734,0.05,1
U01_rebuilt_charge,1.12211218095126e-09,1e-07,1
U01_272_state_compatibility,0,0,1
U01_290_state_repair,0,0,1
U01_shared_current,0,1e-08,1
U02_closed_uniform_stationary,1.04730312432052e-07,1e-06,1
U04_face_conservation,0,1e-12,1
U06_water_transfer_columns,0,0,1
U05_faraday_water,2.71050543121376e-20,1e-13,1
U07_freezing_analytic,0,1e-14,1
U08_latent_sign,0,0,1
U09_ion_flux_conservation,0,1e-12,1
U11_cCL_resistance,2.03287907341032e-20,1e-12,1
U13_reaction_weight_conservation,2.22044604925031e-16,1e-12,1
U13_proton_current_boundaries,6.93889390390723e-18,1e-12,1
U14_liquid_flux_direction,0,0,1
